Job,Skills
Network administrator,"TCP/IP, DNS, DHCP, Firewalls, VPN, Network Security, Routing Protocols (BGP, OSPF), Switches and Routers, Network Monitoring Tools, Wireless Networking, Troubleshooting, LAN/WAN Management"
User experience designer,"User Research, Wireframing, Prototyping, Adobe XD, Figma, Sketch, Usability Testing, Interaction Design, Information Architecture, Responsive Design, HTML/CSS Basics, Design Systems"
Systems analyst,"Requirements Gathering, Systems Design, Business Process Modeling, SQL, Data Analysis, Technical Documentation, Project Management, Testing and Validation, Knowledge of Software Development Life Cycle (SDLC), Stakeholder Communication"
Database administrator,"MySQL, Oracle, SQL Server, Database Design, SQL Query Optimization, Backup and Recovery, Performance Tuning, Data Migration, Security Best Practices, Stored Procedures, Data Modeling"
Full-stack developer,"HTML, CSS, JavaScript, Node.js, React, Angular, PHP, SQL, NoSQL, RESTful APIs, Git, Agile Methodologies, Web Development Frameworks, Testing and Debugging, Tailwind CSS"
Software engineer,"Java, Python, C++, C#, Software Development Life Cycle, SDLC, Version Control, Git, Agile Methodologies, Design Patterns, Unit Testing, System Architecture, Debugging, API Development, Cloud Technologies"
Data Scientist,"Python, R, Tableau, Matplotlib, Seaborn, scikit-learn, TensorFlow, Statistics, SQL, Hadoop, Spark, Numpy, Pandas"
Data Analyst,"Excel, SQL, Python, R, Data Visualization, Tableau, Power BI, Statistical Analysis, Data Cleaning, Database Management, Data Mining, A/B Testing, Google Analytics, Business Intelligence Tools"
Game developer,"Unity, Unreal Engine, C#, C++, Game Physics, 3D Modeling and Animation, Multiplayer Networking, AI Programming, VR/AR Development, Game Design Principles, Scripting Languages, Performance Optimization"
Hardware engineer,"Circuit Design, PCB Design, VHDL/Verilog, Embedded Systems, Microcontrollers, Hardware Troubleshooting, FPGA Development, Schematic Capture, Testing and Validation, Knowledge of Electronics, Signal Processing"
Web Developer,"HTML, CSS, JavaScript, Node.js, PHP, Ruby, React, Angular, WordPress, SEO, Web Security Best Practices, Express, MongoDB, PostgreSQL, MERN"
Frontend Developer,"HTML, CSS, JavaScript, React, Angular, Vue.js, Bootstrap, SASS/LESS, Responsive Design, RESTful APIs, Version Control (Git), Web Performance Optimization, Cross-Browser Compatibility, Tailwind CSS"
Backend Developer,"Node.js, Python, Ruby, Java, PHP, .NET, SQL, NoSQL, RESTful APIs, Microservices Architecture, Docker, Version Control (Git), Security Best Practices, Performance Tuning"
Software Developer,"Java, Python, C#, JavaScript, Git, SVN, React, Angular, Django, .NET, SQL, NoSQL, RESTful APIs, Agile Methodologies, C++"
DevOps Engineer,"Jenkins, GitLab CI, Docker, Kubernetes, Bash, Python, AWS, Azure, GCP, Terraform, Ansible, Prometheus, Grafana"
System Administrator,"Linux, Windows Server, TCP/IP, DNS, DHCP, VMware, Hyper-V, Firewalls, Antivirus, Backup and Recovery, Shell Scripting"
Network Engineer,"TCP/IP, BGP, OSPF, Cisco, Palo Alto, Network Design, Wireless Technologies, Network Monitoring, VPN, Remote Access Solutions"
Cybersecurity Analyst,"NIST, ISO 27001, Threat Intelligence, Incident Response, Metasploit, Burp Suite, Firewalls, IDS/IPS, Risk Management"
Database Administrator,"MySQL, Oracle, SQL Server, SQL Query Optimization, Backup and Recovery, Data Modeling, Performance Tuning, Security Best Practices"
Cloud Engineer,"AWS, Azure, GCP, Cloud Architecture, Terraform, Docker, Kubernetes, CI/CD Pipelines, Networking and Security, Serverless Computing, Monitoring, Optimization, Infrastructure as Code"
Mobile App Developer,"Swift, Kotlin, Java, React Native, Flutter, Mobile UI/UX Design, API Integration, App Store Deployment, Version Control (Git), Testing Frameworks, Cross-Platform Development, Performance Optimization"
AI/ML Engineer,"Python, R, TensorFlow, PyTorch, Natural Language Processing, Data Preprocessing, Model Deployment, AWS SageMaker, NLP"
IT Project Manager,"Agile, Scrum, Waterfall, Jira, Trello, Microsoft Project, Risk Management, Stakeholder Communication, Budget Management"
Technical Support Specialist,"Troubleshooting, Windows, macOS, Linux, Networking, Customer Service, Remote Desktop, Zendesk, ServiceNow"
